cand_id,name,proficiency
2,English,NATIVE_OR_BILINGUAL
3,Chinese,PROFESSIONAL_WORKING
4,Anglais,PROFESSIONAL_WORKING
8,English,NATIVE_OR_BILINGUAL
11,Deutsch,NATIVE_OR_BILINGUAL
12,English,PROFESSIONAL_WORKING
13,English,NATIVE_OR_BILINGUAL
20,Arabic,NATIVE_OR_BILINGUAL
22,English,FULL_PROFESSIONAL
27,English,NATIVE_OR_BILINGUAL
28,Espa̱ol,NATIVE_OR_BILINGUAL
28,Espa̱ol,NATIVE_OR_BILINGUAL
36,English,NATIVE_OR_BILINGUAL
38,Basque,PROFESSIONAL_WORKING
39,Arabic,NATIVE_OR_BILINGUAL
51,English,NATIVE_OR_BILINGUAL
54,Chinese,NATIVE_OR_BILINGUAL
64,Anglais,PROFESSIONAL_WORKING
70,Croatian,ELEMENTARY
