cand_id,country,endMonth,endYear,name,startMonth,startYear
54,,Present,2006,National University of Singapore,,2002
55,BR,Present,Present,Universidade Federal de UberlÃ¢ndia - UFU,,
55,BR,Present,2008,Universidade Federal de UberlÃ¢ndia - UFU,,2004
56,US,Present,Present,Swarthmore College,,
56,US,Present,2004,Swarthmore College,,2000
56,US,Present,2000,Santa Catalina School,,1996
58,,Present,Present,Moscow International University of Business and Information Technology,,
58,,Present,2002,Moscow International University of Business and Information Technology,,2001
59,US,Present,Present,North Carolina State University - College of Management,,
59,US,Present,Present,Wayne Community College,,
59,US,Present,1993,North Carolina State University - College of Management,,1990
59,US,Present,1990,Wayne Community College,,1988
60,US,Present,Present,Milwaukee School of Engineering,,
60,US,Present,2012,Milwaukee School of Engineering,,2008
61,US,Present,Present,National University,,
61,CN,Present,Present,University of Science and Technology of China,,
61,US,Present,2013,National University,,2011
61,CN,Present,1998,University of Science and Technology of China,,1993
62,US,Present,Present,Stanford University Graduate School of Business,,
62,US,Present,Present,University of Pennsylvania,,
62,GB,Present,Present,University of Cambridge,,
62,GB,Present,Present,Cambridge University,,
62,US,Present,2004,Stanford University Graduate School of Business,,2002
62,US,Present,1997,University of Pennsylvania,,1995
63,US,Present,Present,De Anza College,,
63,US,Present,2000,De Anza College,,1997
64,,Present,Present,IAE FRANCE - Ãcoles Universitaires de Management,,
64,FR,Present,1994,LycÃ©e Angellier,,1992
64,FR,Present,1996,LycÃ©e Angellier,,1994
64,,Present,1998,IAE FRANCE - Ãcoles Universitaires de Management,,1996
65,FR,Present,2005,"University of Luminy, Marseille",,2002
66,GB,Present,Present,University of Bedfordshire,,
66,US,Present,Present,Wichita State University,,
66,US,Present,2013,Wichita State University,,2012
66,GB,Present,2011,University of Bedfordshire,,2010
67,US,Present,Present,"California State University, Northridge",,
67,US,Present,Present,Nielson Norman Group,,
67,US,Present,Present,California State University-Northridge,,
68,US,Present,Present,University of Central Florida,,
68,US,Present,2005,University of Central Florida,,2000
68,US,Present,2004,University of Central Florida,,1999
69,IN,Present,Present,University of Mumbai,,
69,US,Present,Present,University of Central Florida,,
69,US,Present,Present,The University of Chicago Booth School of Business,,
69,US,12,1995,University of Central Florida,9,1993
69,US,Present,2001,The University of Chicago Booth School of Business,,1999
69,IN,4,1992,University of Bombay,7,1988
70,CH,Present,1998,AGS Basel,,1994
71,IE,Present,Present,Dublin City University,,
71,IE,Present,1985,Blackrock College,,1974
71,IE,Present,1988,Dublin City University,,1985
